timestamp,solving_id,question_id,user_answer,elapsed_time
1535196434651,1,q8098,b,20000
1535196459648,2,q8074,c,22000
1535196482553,3,q176,b,21000
1564677167247,4,q1279,c,17000
1564677196590,5,q6363,d,27000
1564677228860,6,q3670,c,29000
1564677273528,7,q3788,b,42000
1564677307843,8,q3815,b,31000
1564677335602,9,q6119,c,25000
1564677357004,10,q5019,a,19000
1564677400631,11,q6753,a,41000
1564678017579,12,q5060,d,22000
1564678035560,13,q4886,d,10000
1564678067302,14,q6035,a,21000
1564678101662,15,q10208,b,26000
1564678131658,16,q5084,d,21000
1564678194166,17,q4275,b,30000
1564678241232,18,q6255,b,37000
1564678259574,19,q8996,a,11000
1564678299401,20,q4210,d,32000
1564678356494,21,q6189,d,50000
1566687800061,22,q695,a,25000
1566687823356,23,q712,c,16000
1566687848290,24,q571,c,18000
1566687872489,25,q295,c,15000
1566687894434,26,q1348,b,16000
1566687919008,27,q1002,a,18000
1566687963868,28,q661,b,18000
1566687994459,29,q11249,b,21000
1566688054302,30,q1323,a,15000
